proxy,response_time,quality_score
39.102.213.187:5060,2.44,80
39.102.209.163:5060,2.42,80
47.108.159.113:18080,2.46,80
218.75.224.4:3309,0.76,100
47.121.129.129:8888,2.42,80
39.102.214.152:9999,2.41,80
121.43.154.123:8443,2.40,80
39.102.214.199:10000,2.42,80
39.102.213.187:8089,2.41,80
39.102.213.187:18080,2.43,80
47.121.183.107:9999,2.40,80
39.102.210.222:10000,2.41,80
200.35.34.130:999,2.67,80
39.102.210.222:8086,2.41,80
39.102.214.152:8090,2.42,80
39.102.209.121:8888,2.42,80
39.102.214.199:8095,2.42,80
39.102.210.176:6379,2.42,80
39.102.210.176:8888,2.42,80
39.102.209.121:31281,2.43,80
47.121.183.107:31281,2.42,80
203.115.123.163:1452,2.22,80
47.116.210.163:8054,2.39,80
168.227.40.126:9192,2.14,80
181.174.231.30:9992,6.96,60
39.102.209.121:50000,2.41,80
47.121.133.212:9200,2.41,80
118.31.43.236:443,1.07,90
190.120.255.160:999,2.53,80
112.126.68.169:8384,0.79,100
113.108.13.120:4433,0.59,100
203.162.13.222:6868,4.04,70
8.140.235.207:9001,1.03,90
139.196.156.220:8888,0.74,100
47.108.159.113:4006,2.44,80
39.102.208.236:10000,2.41,80
103.118.44.182:8080,0.60,100
47.109.110.100:8888,2.45,80
47.104.198.111:8888,2.41,80
39.102.208.149:3129,3.13,70
39.102.208.149:443,3.18,70
39.102.208.149:12000,3.09,70
39.102.208.149:9050,2.93,80
39.102.208.149:1081,2.41,80
39.102.208.149:8090,2.41,80
39.102.210.176:2022,2.60,80
39.102.208.189:8085,2.42,80
39.102.209.163:8090,2.42,80
39.102.210.222:57114,2.42,80
39.102.209.163:2022,2.42,80
116.62.230.32:3128,0.71,100
149.86.159.94:8080,6.75,60
190.54.100.74:8080,5.62,60
89.58.55.33:80,0.31,100
103.39.51.207:8080,2.65,80
89.58.57.45:80,0.31,100
121.43.154.123:20000,5.60,60
120.26.104.146:80,2.41,80
120.26.104.146:8080,2.41,80
23.237.210.82:80,0.08,100
57.129.81.201:8080,0.64,100
57.129.81.201:3128,0.67,100
57.129.81.201:999,0.33,100
